site,ACI,ADI,AEI,NDSI,NDSI_A,NDSI_B,BI,H,Ht,Hs,M,R,sfm,rugo,zcr_max,zcr_mean,zcr_min
s2lam108_200519,57.89472415,2.291481854,0.042438181,0.637390038,0.421990186,1.766256458,3.590480934,0.970331942,0.986674128,0.979549324,0.002324564,0.205564252,0.469874332,0.084671929,0.584865994,0.39091135,0.133680556
s2lam108_200622,57.12219392,2.296738893,0.012033293,0.479148153,0.665539207,1.890464645,2.357794139,0.977989787,0.989246614,0.98426788,0.002173995,0.683498792,0.427360295,0.122477764,0.672056362,0.43155683,0.222377232
s2lam108_200707,57.54481126,2.223047742,0.106888637,0.408387333,0.707962628,1.77396682,2.041389828,0.962532676,0.984328257,0.977330749,0.00242571,0.417608222,0.379650137,0.064561717,0.713770604,0.405841537,0.081859547
s2lam108_210328,60.12007758,2.029979979,0.23749837,0.319110122,0.736661866,1.51567902,3.186598053,0.935625792,0.977599086,0.967801866,0.003138707,0.375207398,0.43867208,0.059994693,0.586071842,0.330586368,0.066747272
s2lam108_210410,64.35337868,2.220492743,0.126292525,0.424807676,0.664286867,1.68552405,3.201931228,0.942236665,0.97349532,0.975293149,0.003329243,0.732485716,0.48609253,0.061968551,0.647370219,0.357831429,0.103312842
s2lam108_210425,60.02455448,2.121701246,0.174867032,0.236329203,0.792418798,1.452960742,2.392165438,0.949178939,0.977201804,0.974697929,0.002820204,1.164166414,0.416795912,0.061295097,0.699187748,0.402522796,0.10421317
s2lam108_210521,58.16733916,2.22982205,0.100699656,0.403327771,0.688255831,1.680382582,2.237123181,0.953147382,0.986029042,0.974539956,0.003260509,0.445488187,0.377622562,0.066158663,0.623014323,0.368891807,0.088812934
s2lam108_210530,65.62175101,1.801646661,0.384967291,0.468923684,0.526098802,1.445441216,3.350045479,0.914418952,0.961550529,0.961775065,0.006912092,0.639956339,0.412957529,0.04917668,0.677352017,0.386761412,0.052186673
s2lam108_210613,59.90801082,2.271372551,0.051923792,0.475548877,0.627517197,1.875492267,2.011654515,0.966917657,0.984875855,0.98131886,0.002761333,0.535792411,0.394644117,0.044875181,0.670163272,0.439618414,0.137069874
s2lam109_200522,62.41919724,2.226098761,0.118904975,0.724521753,0.292157594,1.820909955,5.687134924,0.949098005,0.982248246,0.971153823,0.003688835,0.662745213,0.457301749,0.065969561,0.655747768,0.362199754,0.076876395
s2lam109_200616,58.01349519,2.223404371,0.073441789,0.507650972,0.585190149,1.888372989,1.641828371,0.954814178,0.987336282,0.977707362,0.003193221,1.37841719,0.348068006,0.087964191,0.704122165,0.440378521,0.120689939
s2lam109_200630,57.02936609,2.251276127,0.05935694,0.407566122,0.677583639,1.852087781,0.991635214,0.937325749,0.989663798,0.973872979,0.004538919,2.011446241,0.308608749,0.137372753,0.687922691,0.469690708,0.201405084
s2lam109_210407,63.85064511,2.015065124,0.322494955,0.04255236,0.776627832,0.969674748,5.298567865,0.86605518,0.977584107,0.946815446,0.009601099,0.566683951,0.413828492,0.041698195,0.457483669,0.175861195,0.019729873
s2lam109_210420,60.34293924,2.255328288,0.07019382,0.669495417,0.410972465,2.018361379,3.144292963,0.965437768,0.985596967,0.979057199,0.002844608,1.831950524,0.382445568,0.070895181,0.737086893,0.470992339,0.125744717
s2lam109_210508,60.33569452,2.140752052,0.170848433,0.1462172,0.783350361,1.21441405,2.443774544,0.917403406,0.984473866,0.963859329,0.005872319,1.75829258,0.353542719,0.078324218,0.660075709,0.392908702,0.090196118
s2lam109_210525,57.29294871,2.274833021,0.034945257,0.509893749,0.599957402,2.039757516,0.940629095,0.947119174,0.98969121,0.978348834,0.003665101,2.196065766,0.296521816,0.095902349,0.703219944,0.495648112,0.180040148
s2lam110_200522,57.82796153,2.248581196,0.064821053,0.413274201,0.660438813,1.759366255,1.514249415,0.954641595,0.987681422,0.977851719,0.003518302,1.677091934,0.332746583,0.096469199,0.729989157,0.451419127,0.109562667
s2lam110_200624,58.68478379,2.284282529,0.044403588,0.808649702,0.245016317,2.150263792,4.428087965,0.967439662,0.986515473,0.979495231,0.003481975,2.037769733,0.43339016,0.064726757,0.595272289,0.449293444,0.187629251
