"site","wavs","preds","Anthropophony_mean","Anthropophony_var","Biophony_mean","Biophony_var","Geophony_mean","Geophony_var","Quiet_mean","Quiet_var","Interference_mean","Interference_var","Unidentified_mean","Unidentified_var","Anthropophony","Biophony","Geophony","Quiet","Interference","Unidentified"
"s2lam003_210417",548,16440,0.0177007299270073,0.0173884717799891,0.448844282238443,0.247398141089028,0.0066301703163017,0.00658661180336536,0.120681265206813,0.106123752650994,0.226216545012165,0.175053267783914,0.217274939172749,0.170076885289552,291,7379,109,1984,3719,3572
"s2lam003_210502",429,12870,0.0324009324009324,0.0313535481536103,0.0927738927738928,0.0841734378761343,0.0592851592851593,0.0557747628771018,0.0550893550893551,0.0520585629995841,0.538383838383838,0.248545992993891,0.269230769230769,0.196760850463547,417,1194,763,709,6929,3465
"s2lam003_210515",589,17670,0.0243350311262026,0.0237441811430037,0.123203169213356,0.108030262076095,0.0990945104697227,0.0892798410870743,0.298528579513299,0.209421118516461,0.0207130730050934,0.020285189613455,0.437634408602151,0.246124461954812,430,2177,1751,5275,366,7733
"s2lam003_210608",433,12990,0.0130869899923018,0.0129167150435991,0.0324865280985373,0.031433573419233,0.0297921478060046,0.0289068010469687,0.283294842186297,0.203054506178646,0.459045419553503,0.248341840265029,0.210007698229407,0.16591723760337,170,422,387,3680,5963,2728
"s2lam003_210621",569,17070,0.00234329232571763,0.00233793826861394,0.171528998242531,0.142115126436573,0.0205038078500293,0.0200845783146341,0.287229056824839,0.204740519912579,0.382776801405975,0.236272563103483,0.16912712360867,0.140531372320685,40,2928,350,4903,6534,2887
"s2lam005_180604",715,21450,0.0364102564102564,0.0350861853579929,0.0508158508158508,0.0482358488792355,0.368997668997669,0.2328492447146,0.00671328671328671,0.0066685293819426,0.131701631701632,0.114361643453909,0.4395337995338,0.246355323697857,781,1090,7915,144,2825,9428
"s2lam005_180707",989,29670,0.261038085608359,0.192903705111843,0.10273003033367,0.0921796780323898,0.191472868217054,0.154816226892006,0.0150657229524772,0.0148392470875406,0.0101449275362319,0.0100423464495465,0.427569935962251,0.244762135305635,7745,3048,5681,447,301,12686
"s2lam005_190304",578,17340,0.048558246828143,0.046203008026455,0.0647635524798155,0.0605727279869178,0.375144175317186,0.234424542335873,0.004959630911188,0.00493531759280454,0.0180507497116494,0.0177259424038442,0.494636678200692,0.249985651483515,842,1123,6505,86,313,8577
"s2lam005_210502",710,21300,0.0421596244131455,0.040384086448988,0.361455399061033,0.230816229993385,0.0124413145539906,0.0122871051055539,0.0786384976525822,0.072457886118218,0.276291079812207,0.199963706995876,0.268732394366197,0.196524521087745,898,7699,265,1675,5885,5724
"s2lam005_210521",567,17010,0.0316872427983539,0.0306849653790162,0.384538506760729,0.23668255789747,0.00981775426219871,0.00972193750592115,0.25761316872428,0.191259867990488,0.193415637860082,0.15601520086074,0.154262198706643,0.130473043129741,539,6541,167,4382,3290,2624
"s2lam005_210702",565,16950,0.0673746312684366,0.0628389976453741,0.650619469026549,0.227327187183623,0.0123893805309735,0.0122366057046726,0.0108554572271386,0.0107382498005904,0.0113274336283186,0.0111997836299111,0.253333333333333,0.189166715833776,1142,11028,210,184,192,4294
"s2lam006_180604",704,21120,0.00445075757575758,0.00443115814138353,0.464441287878788,0.248747355802688,0.00752840909090909,0.0074720859394169,0.240293560606061,0.182561209333976,0.00677083333333333,0.00672530758242972,0.279403409090909,0.201346677539398,94,9809,159,5075,143,5901
"s2lam006_180707",1004,30120,0.00776892430278884,0.00770882405502,0.0175630810092961,0.0172551920763001,0.00142762284196547,0.00142563206672849,0.880810092961487,0.104987158728103,0.00049800796812749,0.000497776482634818,0.0934926958831341,0.0847546255982301,234,529,43,26530,15,2816
"s2lam006_190311",461,13830,0.164786695589299,0.13764199296782,0.429501084598698,0.245047621482662,0.026174981923355,0.0254916954619817,0.0174981923355025,0.0171932487855093,0.0745480838756327,0.0689956559060108,0.306579898770788,0.212604037111278,2279,5940,362,242,1031,4240
"s2lam006_190324",1110,33300,0.0193993993993994,0.0190236339826418,0.0352252252252252,0.0339854293165203,0.475525525525526,0.249408489843638,9.00900900900901e-05,9.00846791113766e-05,0.00591591591591592,0.0058810944642351,0.465915915915916,0.248845748057436,646,1173,15835,3,197,15515
"s2lam006_190410",974,29220,0.109616700889802,0.0976042200982226,0.236105407255305,0.180365816603773,0.0337782340862423,0.0326383819760046,0.146817248459959,0.125266231017721,0.00708418891170431,0.00703424391304553,0.470807665982204,0.249156334545427,3203,6899,987,4290,207,13757
"s2lam006_190421",520,15600,0.0846153846153846,0.077460586724001,0.0925641025641026,0.0840013741840782,0.0975641025641026,0.0880509927493709,0.00769230769230769,0.00763362542963799,0.110641025641026,0.0984058971564581,0.625961538461538,0.234148700360477,1320,1444,1522,120,1726,9765
"s2lam006_190602",532,15960,0.00463659147869674,0.00461538268253502,0.128634085213033,0.112094380791882,0.0817669172932331,0.0750857931532258,0.378258145363409,0.235193657274334,0.0159147869674185,0.0156624878820901,0.394172932330827,0.238815595131698,74,2053,1305,6037,254,6291
"s2lam006_190610",427,12810,0.0291959406713505,0.0283457505026868,0.203825136612022,0.162293119549224,0.0200624512099922,0.0196614841157805,0.304371584699454,0.211746052873513,0.227790788446526,0.175915877844721,0.237548790007806,0.181133502381626,374,2611,257,3899,2918,3043
"s2lam006_200522",857,25710,0.0211979774406846,0.0207494302499058,0.286231038506418,0.204310777845551,0.0752625437572929,0.0696008004134598,0.165149747180086,0.137880671106358,0.110151691948658,0.0980221093158582,0.362777129521587,0.231178875605903,545,7359,1935,4246,2832,9327
"s2lam006_200708",565,16950,0.267374631268437,0.195896995167352,0.313333333333333,0.215168249847582,0.00672566371681416,0.00668082331325053,0.060117994100295,0.0565071546410879,0.0310324483775811,0.0300712096379369,0.337050147492625,0.223460529079865,4532,5311,114,1019,526,5713
"s2lam006_210327",570,17100,0.0488888888888889,0.0465014848171758,0.0249707602339181,0.0243486452646422,0.146549707602339,0.125080205435905,0.117894736842105,0.104001649834863,0.0944444444444444,0.085529693094463,0.581169590643275,0.243425732977784,836,427,2506,2016,1615,9938
"s2lam006_210411",586,17580,0.0286120591581342,0.0277949902863336,0.0748009101251422,0.0692096708109357,0.0211035267349261,0.0206593430559954,0.389476678043231,0.237798121931737,0.360352673492605,0.230511736357264,0.156712172923777,0.132160985471016,503,1315,371,6847,6335,2755
"s2lam006_210501",570,17100,0.00450292397660819,0.00448290981073754,0.364678362573099,0.23170160424552,0.396900584795322,0.239384509678587,0.0012280701754386,0.00122663375205075,0.0896491228070175,0.0816169305068625,0.167368421052632,0.139364382650878,77,6236,6787,21,1533,2862
"s2lam006_210516",143,4290,0.0165501165501165,0.0162800050652697,0.0615384615384615,0.057764944311925,0.385547785547786,0.236955925088357,0.0722610722610723,0.0670550402422634,0.385780885780886,0.237009240856291,0.166200466200466,0.138610181300785,71,264,1654,310,1655,713
"s2lam006_210613",101,3030,0.0240924092409241,0.0235197273441441,0.470627062706271,0.249219481208603,0.0125412541254125,0.012388059538869,0.119141914191419,0.104981765921723,0.164356435643564,0.137388740524762,0.238613861386139,0.181737265836191,73,1426,38,361,498,723
"s2lam006_210627",428,12840,0.00506230529595016,0.0050370706562632,0.170093457943925,0.141172668264699,0.00825545171339564,0.00818793692019472,0.20404984423676,0.16242615531581,0.507398753894081,0.249964726098611,0.141510903426791,0.121495029867865,65,2184,106,2620,6515,1817
"s2lam007_180624",874,26220,0.0223112128146453,0.0218142545674294,0.245995423340961,0.185488749359274,0.0485507246376812,0.0461953136098338,0.408314263920671,0.241602940251928,0.00980167810831426,0.00970597538907522,0.269221967963387,0.196749003705193,585,6450,1273,10706,257,7059
"s2lam007_180702",569,17070,0.106561218512009,0.0952115029308486,0.351669595782074,0.22801144862149,0.0194493263034564,0.0190721673013798,0.166080843585237,0.138506110986927,0.0601640304628002,0.0565476325921088,0.313239601640305,0.2151331566014,1819,6003,332,2835,1027,5347
"s2lam007_180707",973,29190,0.2,0.16000548151701,0.0927714970880438,0.0841678298634958,0.0940047961630695,0.085170812269298,0.0111339499828708,0.0110103623370299,0.0145597807468311,0.0143482850793997,0.591812264474135,0.241578784172439,5838,2708,2744,325,425,17275
"s2lam007_190304",578,17340,0.0350057670126874,0.0337823115187323,0.126124567474048,0.110223517557775,0.379181084198385,0.235416366076222,0.00865051903114187,0.0085761821411459,0.0640715109573241,0.0599698109075733,0.404959630911188,0.240981225661321,607,2187,6575,150,1111,7022
"s2lam007_190403",576,17280,0.0163773148148148,0.0161100306677127,0.183738425925926,0.149987296584593,0.171122685185185,0.141847920591898,0.13587962962963,0.117423151202594,0.259895833333333,0.192361121158632,0.3140625,0.215439713669773,283,3175,2957,2348,4491,5427
"s2lam007_190419",715,21450,0.0330536130536131,0.0319625618138369,0.295151515151515,0.208046797406674,0.105081585081585,0.0940438298860603,0.00135198135198135,0.00135021644555889,0.239487179487179,0.182141561796557,0.35034965034965,0.227615384289355,709,6331,2254,29,5137,7515
"s2lam007_190510",721,21630,0.172907998150717,0.143017434320418,0.257743874248729,0.191320814696164,0.0157189089227924,0.0154725401528619,0.147202958853444,0.125540051736587,0.115811373092926,0.10240383329799,0.324040684234859,0.219048446261865,3740,5575,340,3184,2505,7009
"s2lam007_190530",708,21240,0.0837099811676083,0.0767062316250291,0.300376647834275,0.210160411828115,0.00630885122410546,0.00626934478722962,0.309792843691149,0.213831305076145,0.0413370998116761,0.0396302098199232,0.268361581920904,0.196352887756055,1778,6380,134,6580,878,5700
"s2lam007_190605",598,17940,0.0838907469342252,0.076857373647583,0.00445930880713489,0.00443967084538877,0.219007803790412,0.171052920391743,0.00457079152731327,0.00455015302384527,0.417892976588629,0.24327199701851,0.322742474916388,0.218591954414076,1505,80,3929,82,7497,5790
