"site","wavs","wavs_sans_int","Anthropophony_mean","Biophony_mean","Geophony_mean","Quiet_mean","Interference_mean"
"s2lam059_190601",684,73,0.0230769230769231,0.316639388979815,0.082214948172395,0.158919803600655,0
"s2lam059_190610",424,134,0.036551724137931,0.261149425287356,0.00758620689655172,0.50735632183908,0
"s2lam059_190623",431,35,0.0483164983164983,0.165151515151515,0.199579124579125,0.0774410774410774,0
"s2lam059_200607",885,188,0.00133907221425155,0.738737446197991,0.0510282161645146,0.0357723577235772,0
"s2lam059_210404",581,93,0.0167349726775956,0.168510928961749,0.0105874316939891,0.552732240437159,0
"s2lam059_210420",426,98,0.0121951219512195,0.41849593495935,0.0125,0.39979674796748,0
"s2lam059_210506",429,286,0.00372960372960373,0.876923076923077,0.00186480186480186,0.0470862470862471,0
"s2lam059_210612",431,266,0.218989898989899,0.424444444444444,0.00464646464646465,0.104848484848485,0
"s2lam060_190528",426,77,0.0439350525310411,0.293696275071633,0.00926456542502388,0.438395415472779,0
"s2lam060_190611",426,135,0.179954180985109,0.432646048109966,0.00698739977090493,0.126002290950745,0
"s2lam060_200507",577,62,0.035663430420712,0.352491909385113,0.0602588996763754,0.163300970873786,0
"s2lam060_200603",982,173,0.0096003296250515,0.558302430984755,0.0234445817882159,0.209476720230738,0
"s2lam060_200624",390,37,0.00103871576959396,0.289801699716714,0.0118980169971671,0.460434372049103,0
"s2lam060_210404",583,346,0.0122362869198312,0.109563994374121,0.0125175808720113,0.535161744022503,0
"s2lam060_210420",424,123,0.0138427464008859,0.225581395348837,0.0252491694352159,0.511738648947951,0
"s2lam060_210506",432,231,0.0245439469320066,0.282752902155887,0.0230514096185738,0.397014925373134,0
"s2lam060_210521",443,107,0.024702380952381,0.336805555555556,0.00813492063492064,0.404662698412698,0
"s2lam060_210716",591,352,0.00794979079497908,0.252719665271967,0.0603905160390516,0.207252440725244,0
"s2lam061_190520",431,260,0.015009746588694,0.174074074074074,0.0795321637426901,0.293567251461988,0
"s2lam061_190528",996,128,0.15852534562212,0.435752688172043,0.0054147465437788,0.0728878648233487,0
"s2lam061_190614",522,213,0.125674217907228,0.315749730312837,0.0143473570658037,0.237971952535059,0
"s2lam061_200605",1861,366,0.0649498327759197,0.132352285395764,0.0816722408026756,0.463745819397993,0
"s2lam061_210418",722,497,0.0368888888888889,0.592888888888889,0.0137777777777778,0.0641481481481481,0
"s2lam061_210509",575,303,0.000612745098039216,0.798897058823529,0.0307598039215686,0.0176470588235294,0
"s2lam061_210525",438,286,0.0081140350877193,0.781140350877193,0.00241228070175439,0.0342105263157895,0
"s2lam061_210614",1011,685,0.020040899795501,0.254498977505112,0.0196319018404908,0.508077709611452,0
"s2lam062_190625",416,149,0.0111111111111111,0.256554307116105,0.0202247191011236,0.477153558052434,0
"s2lam062_200606",1707,405,0.0678443420378904,0.183666154633897,0.0782130056323605,0.460266257040451,0
"s2lam063_190625",433,27,0.0102627257799672,0.0652709359605911,0.0200328407224959,0.424794745484401,0
"s2lam063_200606",677,53,0.0113782051282051,0.130876068376068,0.0805555555555556,0.291933760683761,0
"s2lam063_200708",566,501,0.0317948717948718,0.724102564102564,0.000512820512820513,0.0528205128205128,0
"s2lam063_210403",481,281,0.0523333333333333,0.126166666666667,0.117833333333333,0.0465,0
"s2lam063_210418",582,383,0.606197654941374,0.0949748743718593,0.00418760469011725,0.00904522613065327,0
"s2lam063_210508",546,480,0.0484848484848485,0.18030303030303,0.00202020202020202,0.308585858585859,0
"s2lam063_210521",566,337,0.0310043668122271,0.418049490538573,0.00465793304221252,0.354002911208151,0
"s2lam063_210530",578,347,0.00923520923520924,0.916738816738817,0.00865800865800866,0.00360750360750361,0
"s2lam063_210613",570,379,0.0193717277486911,0.247120418848168,0.00506108202443281,0.28760907504363,0
"s2lam064_190625",386,43,0.00699708454810496,0.202915451895044,0.0107871720116618,0.538192419825073,0
"s2lam064_200509",1738,448,0.0484237726098191,0.744341085271318,0.00395348837209302,0.0394315245478036,0
"s2lam065_190625",446,341,0.0466666666666667,0.00317460317460317,0.6,0,0
"s2lam065_200528",1153,106,0.0384272524673671,0.84380770455269,0.000795924864692773,0.0111429481056988,0
"s2lam065_210426",566,400,0.0246987951807229,0.183734939759036,0.0130522088353414,0.578112449799197,0
"s2lam065_210514",572,402,0.0145098039215686,0.342352941176471,0.0101960784313725,0.458823529411765,0
"s2lam065_210528",560,351,0.0185007974481659,0.170175438596491,0.216108452950558,0.0240829346092504,0
"s2lam065_210609",433,216,0.121812596006144,0.203072196620584,0.0490015360983103,0.206758832565284,0
"s2lam065_210624",438,338,0.00133333333333333,0.108666666666667,0.00133333333333333,0.758,0
"s2lam066_190625",418,19,0.00843776106934002,0.173266499582289,0.353299916457811,0.00334168755221387,0
"s2lam066_200520",820,149,0.072528564331843,0.107998012916046,0.0376552409339295,0.138002980625931,0
"s2lam066_200622",418,192,0.00339233038348083,0.309144542772861,0.0106194690265487,0.241297935103245,0
"s2lam066_200707",567,359,0.00961538461538462,0.118108974358974,0.0134615384615385,0.611538461538462,0
"s2lam066_210323",582,490,0.0648550724637681,0.443115942028986,0.0036231884057971,0.220652173913043,0
"s2lam066_210411",580,484,0.0489583333333333,0.0489583333333333,0.00972222222222222,0.666319444444444,0
"s2lam066_210430",398,165,0.0138769670958512,0.170529327610873,0.0347639484978541,0.445922746781116,0
